,,,under tree,under tree,under tree,under tree,open,open,open,open,open,open,,,,,
,,DEPTHS( cm),5,5,10,20,5,10,20,70,100,130,,,,,
Year,DOY,precip (mm),vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,vol soil moisture,averageShallow,averageDeep,shallowMinusDeep,maxAirTemp,minAirTemp
2015,33,0.254,0.101031616,0.110194599,0.11641525,0.107973396,0.098802667,0.104861104,0.148570973,0.127023118,0.051111138,0.052498422,0.112549944,0.076877559,0.035672384,20.86,6.094
2015,34,0,0.099039046,0.103499248,0.112370781,0.103256478,0.09363831,0.099154294,0.143487155,0.125831484,0.05114681,0.052527796,0.107777902,0.07650203,0.031275872,22.53,7.576
2015,35,0,0.097287591,0.097384142,0.108430347,0.098867747,0.090191983,0.094340491,0.13976784,0.124381911,0.051155699,0.052547421,0.103752877,0.076028343,0.027724534,22.65,8.64
2015,36,0,0.095775425,0.091384086,0.104337733,0.094777808,0.086697788,0.090113963,0.136803931,0.123099689,0.051158103,0.052555344,0.099984391,0.075604379,0.024380012,27.59,8.78
2015,37,0,0.094183202,0.084535973,0.099506419,0.09064919,0.083081307,0.085816537,0.133894997,0.121859498,0.051201455,0.052567413,0.095952518,0.075209455,0.020743062,28.12,12.78
2015,38,0,0.092341704,0.078393553,0.094353411,0.08645159,0.080271518,0.081906504,0.131327457,0.120631658,0.051275883,0.052526586,0.092149391,0.074811376,0.017338015,24.68,10.69
2015,39,0,0.090264328,0.073405488,0.089481424,0.082342986,0.077920191,0.078620281,0.129254258,0.119601096,0.051346081,0.052489553,0.088755565,0.07447891,0.014276655,25.3,9.31
2015,40,0,0.087801091,0.069112089,0.084989793,0.078292166,0.07546289,0.075525123,0.127206703,0.118593663,0.051389908,0.052505944,0.085484265,0.074163172,0.011321094,27.03,9.56
2015,41,0,0.08481337,0.065549833,0.080822864,0.074409895,0.073331801,0.072644164,0.125180242,0.117823919,0.051445389,0.052506278,0.082393167,0.073925195,0.008467972,24.86,10.79
2015,42,0,0.08168321,0.063141195,0.077499769,0.071082678,0.071605232,0.070196788,0.123374104,0.11709377,0.051538502,0.052499193,0.079797568,0.073710488,0.00608708,21.31,8.78
2015,43,0,0.078744591,0.061953166,0.075393296,0.068576277,0.069973389,0.068053328,0.121777623,0.116356199,0.051708826,0.052457638,0.077781667,0.073507554,0.004274113,17.99,8.66
2015,44,0,0.076025835,0.061019144,0.073702806,0.0665376,0.068075785,0.066040806,0.120254588,0.115622138,0.051819639,0.052547826,0.075950938,0.073329868,0.00262107,24.04,10.95
2015,45,0,0.073099638,0.059894193,0.071942513,0.064599913,0.066407857,0.064036193,0.118459922,0.114903626,0.051948699,0.0525022,0.07406289,0.073118175,0.000944715,23.2,13.34
2015,46,0.508,0.070940698,0.059463932,0.070703226,0.063061292,0.066296054,0.063145918,0.116857346,0.114369246,0.052105017,0.052543565,0.072924067,0.073005943,-8.18759E-05,21.3,12.33
2015,47,0.254,0.069730213,0.059057118,0.069531943,0.061872597,0.068427867,0.064567041,0.115601866,0.113770689,0.052358597,0.052528581,0.072684092,0.072885956,-0.000201864,21.35,9
2015,48,0,0.06828988,0.057948791,0.067821805,0.060413277,0.067294268,0.063739653,0.11434442,0.113251009,0.052639108,0.052567338,0.071407442,0.072819152,-0.00141171,20.8,7.562
2015,49,0,0.066789928,0.056889999,0.066044531,0.058891254,0.065259884,0.061825727,0.1133071,0.11271197,0.052991491,0.052585559,0.069858346,0.072763006,-0.00290466,22.42,7.503
2015,50,0,0.064654125,0.055671891,0.064236507,0.057618049,0.062643691,0.059637618,0.112338283,0.112091724,0.053425031,0.052564301,0.068114309,0.072693685,-0.004579376,26.31,9.89
